Time,potValue,sensorValue
1,0,477
202,0,477
404,0,477
606,0,477
806,0,477
1008,0,477
1210,0,477
1412,0,477
1613,0,477
1815,0,477
2017,13,477
2219,61,477
2420,95,477
2622,123,477
2824,159,477
3025,191,477
3227,215,477
3429,230,477
3632,235,477
3833,233,477
4035,221,477
4237,221,477
4439,221,477
4640,221,477
4842,221,477
5044,221,477
5245,221,477
5447,221,477
5649,221,477
5851,220,477
6052,221,478
6254,221,478
6456,221,478
6658,221,478
6859,221,478
7061,221,478
7263,221,478
7464,219,478
7666,219,478
7869,218,478
8071,217,478
8272,218,478
8474,218,478
8676,218,478
8878,218,478
9079,218,478
9281,218,478
9483,218,479
9684,218,479
9886,219,479
10088,218,479
10290,218,479
10491,218,479
10693,218,479
10895,218,479
11098,218,479
11299,218,479
11501,218,479
11703,218,479
11905,218,480
12106,218,480
12308,218,479
12510,218,480
12711,218,480
12913,218,480
13115,218,480
13318,218,480
13519,217,480
13721,218,480
13923,218,480
14125,218,480
14326,218,480
14528,218,480
14730,218,480
14931,218,480
15133,218,480
15336,218,480
15538,218,480
15739,218,480
15941,219,480
16143,218,480
16345,218,480
16546,217,481
16748,218,481
16950,218,480
17152,219,481
17353,222,481
17556,235,481
17758,270,481
17959,314,481
18161,367,481
18363,407,481
18565,455,481
18766,483,481
18968,548,481
19170,633,482
19372,695,482
19574,758,482
19776,822,482
19978,871,482
20179,940,482
20381,1022,482
20583,1023,482
20785,1023,483
20986,1023,483
21188,1023,483
21391,1023,484
21593,1023,483
21794,1023,484
21996,1023,484
22198,1023,484
22400,1023,484
22601,1023,485
22804,1023,485
23006,1023,485
23207,1023,485
23409,1023,485
23611,1023,486
23813,1023,486
24014,1023,486
24217,1023,486
24419,1023,487
24621,1023,487
24822,1023,487
25024,1023,488
25226,1023,488
25427,1023,488
25630,1023,489
25832,1023,488
26034,1023,489
26235,1023,489
26437,1023,489
26639,1023,489
26841,1023,490
27043,1023,490
27245,1023,490
27447,1023,490
27649,1023,491
27850,1023,491
28052,1023,491
28254,1023,492
28456,1023,491
28658,1023,492
28860,1023,492
29062,1023,492
29263,1023,493
29465,1023,493
29667,1023,493
29870,1023,493
30071,1023,493
30273,1023,494
30475,1023,494
30676,1023,494
30878,1023,494
31080,1023,494
31283,1023,494
31484,1023,495
31686,1023,495
31888,1023,495
32090,1023,495
32291,1023,495
32493,1023,496
32696,1023,496
32898,1023,496
33099,1023,496
33301,1023,496
33503,1023,496
33704,1023,496
33906,1023,497
34109,1023,497
34311,1023,497
34512,1023,498
34714,1023,497
34916,1023,497
35118,1023,498
35319,1023,498
35522,1023,498
35724,1023,498
35926,1023,498
36127,1023,498
36329,1023,499
36531,1023,499
36732,1023,499
36935,1023,499
37137,1023,499
37339,1023,499
37540,1023,499
37742,1023,500
37944,1023,500
38147,1023,500
38348,1023,500
38550,1023,500
38752,1023,500
38953,1023,501
