time,potValue,sensorValue
1,0,473
202,0,474
404,0,474
606,0,474
806,0,474
1008,0,473
1210,0,474
1412,0,473
1613,0,474
1815,0,474
2017,0,474
2219,0,474
2420,0,473
2622,0,473
2824,0,474
3025,0,473
3227,0,473
3429,0,474
3631,0,473
3832,0,473
4034,0,474
4236,0,473
4438,0,474
4639,0,474
4841,0,474
5043,0,473
5244,0,474
5446,0,473
5648,0,473
5850,8,474
6050,76,474
6252,168,474
6455,253,473
6657,328,474
6858,359,474
7060,360,474
7262,362,474
7463,362,473
7665,363,473
7867,363,474
8069,363,474
8270,363,474
8472,362,474
8674,362,474
8876,363,474
9077,363,474
9279,363,474
9481,363,474
9682,362,474
9884,363,475
10086,363,475
10289,363,475
10490,362,475
10692,363,475
10894,362,475
11096,362,475
11297,362,475
11499,362,475
11701,362,475
11902,363,475
12104,362,475
12306,362,475
12509,362,476
12710,362,476
12912,362,476
13114,362,476
13316,362,476
13517,362,476
13719,363,476
13921,362,476
14123,362,476
14324,362,476
14527,362,476
14729,362,476
14930,362,477
15132,362,477
15334,362,477
15536,362,477
15737,362,477
15939,362,477
16141,362,477
16343,363,477
16545,362,477
16747,362,477
16949,362,477
17150,362,477
17352,362,477
17554,363,477
17756,362,476
17957,362,477
18159,362,477
18361,362,477
18563,362,477
18765,362,477
18967,362,477
19169,362,477
19371,363,477
19572,362,477
19774,362,477
19976,362,477
20177,362,477
20379,362,477
20581,362,477
20784,362,477
20985,362,477
21187,362,477
21389,362,477
21591,362,477
21792,362,477
21994,362,477
22196,362,477
22397,362,477
22599,362,477
22802,362,477
23004,362,477
23205,362,477
23407,362,477
23609,362,478
23811,363,478
24012,362,478
24214,362,478
24416,362,478
24617,362,478
24819,362,478
25022,362,478
25224,362,478
25425,362,478
25627,362,478
25829,362,478
26031,362,478
26232,362,479
26434,362,479
26636,362,479
26838,362,479
27039,362,479
27242,362,479
27444,362,479
27645,362,479
27847,362,479
28049,362,479
28251,362,480
28452,362,479
28654,363,480
28856,362,479
29058,362,479
29260,362,480
29462,362,479
29664,362,480
29865,362,480
30067,362,479
30269,362,479
30471,362,480
30672,362,479
30874,362,479
31076,362,479
31278,362,479
31480,362,479
31682,362,479
31884,362,479
32086,362,479
32287,362,479
32489,362,479
32691,362,479
32892,362,479
33094,362,479
33296,362,480
33499,362,480
33700,362,480
33902,362,479
34104,362,480
34306,362,480
34507,362,480
34709,363,480
34911,362,480
35112,362,480
35314,362,480
35517,362,480
35719,362,480
35920,362,480
36122,362,480
36324,362,480
36526,362,480
36727,362,480
36929,362,480
37131,362,480
37332,362,480
37534,362,481
37737,362,480
37939,362,481
38140,362,480
38342,362,481
38544,362,481
38746,362,481
38947,361,481
39149,362,481
39351,362,481
39553,362,481
39755,362,481
39957,362,481
40159,362,482
40360,362,481
40562,362,482
40764,362,481
40966,362,482
41167,362,482
41369,362,482
41571,362,482
41773,362,482
41975,361,482
42177,362,482
42379,362,482
42580,362,483
42782,362,482
42984,362,483
43186,362,482
43387,362,483
43589,362,482
43791,362,483
43994,362,482
44195,362,483
44397,362,483
44599,362,483
44801,362,483
45002,362,483
45204,361,483
45406,362,483
45607,362,483
45809,362,483
46012,362,483
46214,362,483
46415,362,483
46617,362,483
46819,362,483
47021,362,483
47222,362,483
47424,362,484
47626,362,483
47827,362,484
48029,362,484
48232,362,484
48434,361,483
48635,362,484
48837,362,484
49039,362,484
49241,362,484
49442,362,484
49644,361,484
49846,362,484
50048,362,484
50250,362,484
50452,362,484
50654,362,484
50855,362,484
51057,361,484
51259,361,484
51461,361,484
51662,362,484
51864,362,484
52066,362,484
52268,362,484
52470,362,484
52672,362,484
52874,362,484
53075,362,484
53277,362,484
53479,362,484
53681,362,484
53882,361,484
54084,362,484
54286,361,484
54489,362,484
54690,362,484
54892,362,484
55094,361,484
55296,362,484
55497,361,484
55699,362,484
55901,362,484
56102,362,484
56304,362,484
56507,362,484
56709,362,484
