time,sensorValue
7004,488
7005,489
7006,490
7007,490
7008,491
7009,493
7010,496
7011,502
7012,510
7013,518
7014,525
7015,532
7016,539
7017,544
7018,548
7019,553
7020,558
7021,562
7022,566
7023,570
7024,572
7025,575
7026,576
7027,577
7028,579
7029,580
7030,582
7031,583
7032,584
7033,584
7034,584
7035,585
7036,585
7037,586
7038,587
7039,588
7040,589
7041,589
7042,589
7043,588
7044,589
7045,589
7046,590
7047,590
7048,591
7049,591
7050,591
7051,590
7052,590
7053,590
7054,591
7055,592
7056,592
7057,592
7058,592
7059,591
7060,591
7061,591
7062,591
7063,592
7064,592
7065,592
7066,593
7067,592
7068,591
7069,592
7070,592
7071,592
7072,593
7073,593
7074,593
7075,592
7076,590
7077,588
7078,585
7079,582
7080,579
7081,576
7082,573
7083,569
7084,565
7085,562
7086,559
7087,557
7088,556
7089,554
7090,552
7091,551
7092,548
7093,546
7094,544
7095,544
7096,543
7097,543
7098,543
7099,542
7100,541
7101,540
7102,539
7103,539
7104,539
7105,540
7106,540
7107,540
7108,540
7109,538
7110,537
7111,535
7112,535
7113,534
7114,533
7115,532
7116,531
7117,529
7118,527
7119,526
7120,526
7121,525
7122,525
7123,525
7124,525
7125,523
7126,522
7127,521
7128,521
7129,521
7130,521
7131,521
7132,521
7133,521
7134,520
7135,519
7136,519
7137,519
7138,520
7139,521
7140,521
7141,520
7142,519
7143,518
7144,517
7145,517
7146,516
7147,515
7148,515
7149,514
7150,512
7151,511
7152,509
7153,509
7154,509
7155,509
7156,509
7157,509
7158,508
7159,506
7160,505
7161,505
7162,505
7163,505
7164,505
7165,505
7166,505
7167,504
7168,503
7169,503
7170,503
7171,504
7172,504
7173,505
7174,505
7175,504
7176,503
7177,503
7178,503
7179,503
7180,504
7181,504
7182,505
7183,504
7184,504
7185,503
7186,503
7187,504
7188,505
7189,506
7190,506
7191,506
7192,505
7193,504
7194,504
7195,505
7196,505
7197,505
7198,506
7199,506
7200,506
7201,504
7202,504
7203,504
7204,505
7205,506
7206,506
7207,507
7208,507
7209,508
7210,510
7211,514
7212,519
7213,524
7214,529
7215,534
7216,538
7217,542
7218,545
