time,sensorValue25
202,217
208,218
216,218
222,218
232,218
241,218
250,219
260,219
269,219
278,219
287,219
297,219
307,219
316,219
325,219
334,219
344,219
353,219
363,219
372,219
381,219
391,219
400,219
409,219
418,220
428,219
438,219
447,219
456,219
465,219
475,219
484,219
493,219
503,219
513,219
522,219
531,219
540,219
549,219
559,219
569,219
578,219
587,219
596,219
606,219
615,218
624,218
634,219
644,219
653,219
662,219
671,218
680,218
690,218
700,218
709,218
718,218
728,219
737,218
746,218
755,218
765,218
775,218
784,218
793,218
802,218
812,218
821,218
831,217
840,217
849,217
859,217
868,218
877,218
886,218
897,218
906,217
915,217
924,217
933,217
943,217
952,218
962,218
971,218
980,217
990,217
999,217
1008,217
1018,217
1030,217
1040,218
1050,218
1060,218
1071,218
1081,218
1091,218
1102,218
1113,218
1123,218
1133,218
1143,218
1154,218
1165,218
1175,218
1185,219
1196,219
1206,219
1216,219
1226,219
1238,218
1248,218
1258,219
1268,219
1278,219
1289,219
1300,220
1310,219
1320,219
1331,219
1341,219
1351,220
1362,219
1373,219
1383,219
1393,220
1403,220
1414,219
1424,220
1435,220
1445,220
1456,219
1466,220
1476,220
1486,220
1498,219
1508,220
1518,220
1528,220
1539,219
1549,220
1559,220
1570,219
1581,219
1591,219
1601,220
1611,219
1622,219
1633,219
1643,219
1653,219
1664,219
1674,219
1684,219
1695,219
1705,219
1716,219
1726,219
1736,219
1746,219
1757,219
1768,219
1778,219
1788,218
1799,218
1809,219
1819,218
1830,218
1841,218
1851,218
1861,218
1871,218
1882,218
1892,218
1903,218
1913,218
1924,218
1934,218
1944,218
1954,218
1966,218
1976,218
1986,218
1996,218
2007,218
2017,218
2028,218
2038,218
2049,218
2059,218
2069,218
2079,218
2089,218
2101,218
2111,218
2121,218
2131,218
2142,218
2152,218
2163,218
2173,218
2184,218
2194,218
2204,218
2214,218
2225,219
2236,219
2246,218
2256,219
2267,219
2277,219
2287,219
2298,219
2309,219
2319,219
2329,219
2339,219
2350,219
2361,219
2371,219
2381,219
2392,220
2402,220
2412,219
2422,219
2434,220
2444,220
2454,220
2464,219
2475,220
2485,220
2496,220
2506,220
2516,220
2527,220
2537,220
2547,219
2557,220
2569,220
2579,220
2589,219
2599,220
2610,220
2620,219
2631,219
2641,219
2652,220
2662,219
2672,219
2682,219
2694,219
2704,219
2714,219
2724,219
2735,219
2745,219
2755,219
2766,219
2777,219
2787,219
2797,218
2807,219
2818,219
2829,218
2839,218
2849,218
2860,219
2870,218
2880,218
2891,218
2902,218
2912,218
2922,218
2932,218
2942,218
2953,218
2964,218
2974,218
2984,218
2995,218
3005,218
3015,218
3026,218
3037,218
3047,218
3057,218
3067,218
3078,218
3088,218
3099,218
3109,218
3120,218
3130,218
3140,218
3150,218
3162,218
3172,218
3182,218
3192,218
3203,218
3213,218
3223,218
3234,219
3245,218
3255,218
3265,218
3275,219
3286,219
3297,218
3307,219
3317,219
3328,219
3338,219
3348,219
3359,219
3369,219
3380,219
3390,219
3400,219
3410,219
3421,219
3432,219
3442,220
3452,220
3463,219
3473,219
3483,220
3494,220
3505,219
3515,220
3525,220
3535,220
3546,220
3556,220
3567,220
3577,220
3588,220
3598,220
3608,220
3618,220
3630,220
3640,220
3650,220
3660,220
3671,219
3681,219
3692,220
3702,220
3713,219
3723,219
3733,219
3743,219
3753,219
3765,219
3775,219
3785,219
3795,219
3806,219
3816,219
3827,219
3837,219
3848,218
3858,219
3868,219
3878,218
3889,218
3900,218
3910,218
3920,218
3931,218
3941,218
3951,218
3962,218
3973,218
3983,218
3993,218
4003,218
4014,218
4025,218
4035,218
4045,218
4056,218
4066,218
4076,218
4086,218
4098,218
4108,218
4118,218
4128,218
4139,218
4149,218
4160,218
4170,218
4180,218
4191,218
4201,218
4211,218
4221,218
4233,218
4243,218
4253,218
4263,218
4274,218
4284,219
4295,219
4305,218
4316,218
4326,219
4336,219
4346,219
4358,219
4368,219
4378,219
4388,219
4399,219
4409,219
4419,219
4430,219
4441,219
4451,219
4461,219
4471,219
4482,219
4493,220
4503,220
4513,219
4524,219
4534,220
4544,220
4554,219
4566,219
4576,220
4586,220
4596,219
4606,220
4617,220
4628,220
4638,219
4648,220
4659,220
4669,220
4679,219
4690,220
4701,220
4711,220
4721,219
4731,219
4742,220
4752,220
4763,219
4773,219
4784,219
4794,219
4804,219
4814,219
4826,219
4836,219
4846,219
4856,219
4867,219
4877,219
4887,219
4898,219
4909,219
4919,219
4929,218
4939,218
4950,219
4961,218
4971,218
4981,218
4992,218
5002,218
5012,218
5023,218
5033,218
5044,218
5054,218
5064,218
5074,218
5085,218
5096,218
5106,218
5116,218
5127,218
5137,218
5147,218
5158,218
5169,218
5179,218
5189,218
5199,218
5210,218
5221,218
5231,218
5241,218
5252,218
5262,218
5272,218
5282,218
5294,218
5304,218
5314,218
5324,218
5335,219
5345,218
5356,218
5366,219
5377,219
5387,219
5397,218
5407,219
5417,219
5429,219
5439,219
5449,219
5459,219
5470,219
5480,219
5491,219
5501,219
5512,219
5522,219
5532,220
5542,220
5553,220
5564,219
5574,220
5584,220
5595,220
5605,219
5615,220
5626,220
5637,220
5647,220
5657,220
5667,220
5678,220
5689,220
5699,220
5709,220
5720,220
5730,219
5740,220
5750,220
5762,220
5772,219
5782,219
5792,220
5803,219
5813,219
5824,219
5834,219
5844,219
5855,219
5865,219
5875,219
5885,219
5897,219
5907,219
5917,219
5927,219
5938,218
5948,218
5959,219
5969,218
5980,218
5990,218
6000,218
6010,218
6022,218
6032,218
6042,218
6052,218
6063,218
6073,218
6083,218
6094,218
6105,218
6115,218
6125,218
6135,218
6146,217
6157,217
6167,218
6177,218
6188,217
6198,217
6208,218
6218,218
6230,217
6240,217
