time,sensorvalue5
37,284
44,286
51,287
57,287
63,288
70,288
76,289
83,290
90,290
97,290
103,291
109,292
116,292
122,292
130,293
136,294
143,294
149,293
156,294
162,295
169,295
176,295
183,296
189,296
197,296
206,296
216,297
225,298
235,297
244,298
253,298
263,298
272,298
281,298
290,298
301,298
310,298
319,297
328,298
337,298
347,298
356,297
366,297
375,297
385,296
394,296
403,296
412,296
421,296
432,295
441,294
450,294
459,293
468,293
478,292
487,292
497,291
506,290
516,290
525,289
534,289
543,288
552,287
563,286
572,286
581,286
590,285
600,284
609,283
618,282
628,282
637,281
647,281
656,280
665,280
674,279
684,279
693,278
703,278
712,277
721,277
731,276
740,276
749,276
758,276
769,275
778,275
787,275
796,275
805,275
815,274
824,275
834,275
843,275
852,275
862,275
871,275
880,275
889,276
900,276
909,276
918,277
927,277
936,277
946,278
955,279
965,279
974,279
984,280
993,281
1002,281
1012,281
1022,281
1034,282
1044,283
1054,285
1064,287
1075,288
1085,289
1096,289
1106,288
1117,287
1127,287
1137,288
1147,290
1158,292
1169,294
1179,296
1189,296
1200,296
1210,295
1220,294
1231,293
1242,294
1252,295
1262,297
1272,298
1283,300
1294,300
1304,299
1314,298
1325,297
1335,296
1345,296
1355,297
1367,298
1377,299
1387,300
1397,300
1408,299
1418,298
1429,296
1439,294
1449,294
1460,294
1470,294
1480,296
1490,296
1502,296
1512,295
1522,293
1532,291
1543,289
1553,288
1564,287
1574,288
1585,289
1595,290
1605,290
1615,289
1627,287
1637,285
1647,283
1657,281
1668,281
1678,281
1688,281
1699,282
1710,282
1720,281
1730,280
1740,278
1751,277
1762,276
1772,275
1782,275
1793,276
1803,276
1813,277
1823,277
1835,276
1845,275
1855,274
1865,273
1875,273
1886,274
1897,275
1907,276
1917,277
1928,277
1938,277
1948,276
1959,276
1970,276
1980,276
1990,276
2000,278
2011,279
2021,281
2032,282
2042,282
2053,282
2063,282
2073,281
2083,282
2095,283
2105,284
2115,286
2125,288
2136,290
2146,290
2156,290
2167,289
2178,288
2188,288
2198,289
2208,291
2219,293
2230,295
2240,296
2250,297
2260,297
2271,296
2281,294
2292,294
2302,294
2313,296
2323,297
2333,299
2343,300
2354,300
2365,300
2375,298
2385,297
2396,296
2406,296
2416,297
2427,298
2438,299
2448,300
2458,300
2468,299
2479,298
2489,296
2500,294
2510,293
2521,293
2531,294
2541,295
2551,296
2563,296
