ftime, finPin
2,0
3,0
4,239
5,198
6,163
7,134
8,109
9,89
10,72
11,59
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,319
21,273
22,230
23,191
24,157
25,130
26,107
27,87
28,92
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,305
38,259
39,218
40,180
41,149
42,122
43,100
44,82
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,335
54,288
55,244
56,203
57,169
58,139
59,114
60,93
61,76
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,318
71,272
72,229
73,190
74,158
75,129
76,106
77,87
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,301
88,256
89,214
90,177
91,146
92,121
93,99
94,80
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,330
104,285
105,240
106,200
107,166
108,136
109,112
110,92
111,75
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,314
121,269
122,226
123,187
124,155
125,127
126,104
127,86
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,298
138,253
139,211
140,175
141,144
142,119
143,97
144,80
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,327
154,281
155,237
156,197
157,163
158,135
159,110
160,91
161,74
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,310
171,265
172,222
173,185
174,152
175,125
176,103
177,84
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,294
188,250
189,208
190,172
191,142
192,117
193,96
194,78
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,323
204,278
205,234
206,195
207,161
208,132
209,109
210,89
211,79
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,306
221,261
222,219
223,182
224,150
225,124
226,101
227,83
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,290
238,246
239,205
240,170
241,140
242,115
243,94
244,77
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,319
254,274
255,230
256,191
257,158
258,130
259,107
260,87
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,303
271,258
272,216
273,180
274,148
275,122
276,100
277,81
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,333
287,286
288,242
289,202
290,167
291,138
292,113
293,93
294,76
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,315
304,270
305,227
306,189
307,156
308,128
309,105
310,86
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,299
321,255
322,212
323,176
324,145
325,120
326,98
327,80
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,329
337,283
338,239
339,199
340,165
341,135
342,111
343,91
344,74
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,312
354,267
355,224
356,186
357,154
358,127
359,104
360,85
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,295
371,251
372,210
373,174
374,143
375,118
376,97
377,79
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,325
387,279
388,235
389,196
390,162
391,133
392,110
393,90
394,74
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,308
404,263
405,221
406,183
407,151
408,124
409,102
410,83
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,292
421,247
422,207
423,171
424,141
425,116
426,95
427,77
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,321
437,275
438,232
439,193
440,160
441,132
442,108
443,88
444,92
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,304
454,259
455,217
456,180
457,149
458,122
459,101
460,82
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,335
470,288
471,244
472,203
473,168
474,139
475,115
476,94
477,77
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,317
487,272
488,229
489,190