time40,inPin40
1,414
2,336
3,268
4,214
5,172
6,138
7,111
8,254
9,396
10,512
11,606
12,684
13,746
14,797
15,838
16,872
17,899
18,921
19,939
20,880
21,717
22,577
23,465
24,372
25,299
26,240
27,193
28,154
29,124
30,100
31,81
32,65
33,220
34,365
35,486
36,585
37,667
38,732
39,785
40,829
41,864
42,893
43,916
44,935
45,870
46,705
47,569
48,458
49,368
50,295
51,237
52,190
53,152
54,122
55,99
56,79
57,64
58,226
59,370
60,491
61,588
62,669
63,734
64,788
65,830
66,865
67,894
68,917
69,936
70,864
71,700
72,566
73,454
74,364
75,292
76,235
77,188
78,151
79,121
80,98
81,79
82,64
83,233
84,376
85,495
86,593
87,672
88,737
89,789
90,832
91,867
92,895
93,918
94,936
95,856
96,693
97,560
98,450
99,361
100,289
101,233
102,186
103,150
104,120
105,97
106,78
107,59
108,238
109,382
110,500
111,596
112,675
113,739
114,791
115,834
116,868
117,896
118,918
119,937
120,849
121,687
122,554
123,446
124,357
125,286
126,230
127,185
128,148
129,119
130,96
131,77
132,57
133,245
134,386
135,504
136,600
137,677
138,741
139,793
140,835
141,869
142,897
143,919
144,938
145,841
146,684
147,550
148,442
149,355
150,284
151,228
152,183
153,147
154,118
155,95
156,77
157,78
158,250
159,392
160,508
161,603
162,681
163,743
164,795
165,837
166,870
167,898
168,920
169,938
170,835
171,675
172,545
173,438
174,351
175,281
176,226
177,182
178,145
179,117
180,94
181,76
182,87
183,256
184,397
185,513
186,607
187,684
188,746
189,797
190,838
191,872
192,899
193,921
194,939
195,827
196,670
197,540
198,434
199,348
200,279
201,224
202,180
203,144
204,116
205,94
206,76
207,95
208,262
209,402
210,516
211,610
212,686
213,748
214,799
215,840
216,873
217,900
218,922
219,940
220,822
221,665
222,536
223,430
224,345
225,277
226,222
227,178
228,143
229,115
230,93
231,75
232,101
233,270
234,407
235,521
236,613
237,689
238,750
239,800
240,841
241,874
242,901
243,923
244,940
245,813
246,659
247,531
248,427
249,342
250,274
251,220
252,176
253,141
254,114
255,92
256,74
257,110
258,276
259,413
260,525
261,617
262,692
263,753
264,803
265,842
266,876
267,902
268,923
269,941
270,809
271,654
272,527
273,424
274,339
275,272
276,218
277,175
278,141
279,113
280,91
281,74
282,117
283,282
284,417
285,529
286,620
287,695
288,755
289,804
290,844
291,877
292,903
293,924
294,942
295,801
296,648
297,523
298,419
299,335
300,269
301,216
302,173
303,139
304,112
305,90
306,73
307,123
308,287
309,422
310,533
311,623
312,697
313,757
314,806
315,846
316,878
317,904
318,925
319,942
320,795
321,642
322,518
323,415
324,333
325,267
326,214
327,171
328,138
329,111
330,89
331,72
332,132
333,293
334,427
335,537
336,627
337,700
338,759
339,808
340,847
341,879
342,905
343,926
344,943
345,787
346,637
347,513
348,412
349,330
350,264
351,212
352,170
353,137
354,110
355,88
356,72
357,137
358,299
359,432
360,541
361,630
362,703
363,762
364,810
365,848
366,880
367,906
368,926
369,943
370,781
371,631
372,508
373,408
374,327
375,262
376,210
377,169
378,135
379,109
380,88
381,71
382,144
383,305
384,438
385,545
386,633
387,705
388,763
389,811
390,850
391,881
392,906
393,927
394,944
395,774
396,626
397,504
398,404
399,324
400,260
401,208
402,167
403,134
404,108
405,87
406,70
407,151
408,311
409,441
410,548
411,636
412,708
413,766
414,813
415,851
416,882
417,908
418,928
419,945
420,767
421,621
422,499
423,401
424,321
425,258
426,206
427,165
428,133
429,107
430,86
431,69
432,158
433,316
434,446
435,553
436,640
437,710
438,768
439,815
440,853
441,884
442,908
443,929
444,946
445,761
446,615
447,495
448,397
449,318
450,255
451,205
452,164
453,132
454,106
455,86
456,69
457,167
458,322
459,451
460,556
461,643
462,713
463,770
464,816
465,854
466,884
467,909
468,930
469,929
470,755
471,611
472,491
473,394
474,316
475,253
476,203
477,163
478,131
479,105
480,85
481,68
482,172
483,328
484,455
485,560
486,646
487,715
488,772
489,818
490,855
491,885
492,910
493,930
494,922
495,748
496,605
497,486
498,390
499,313
500,251
501,201
502,161
503,129
504,104
505,84
506,68
507,179
508,333
509,460
510,564
511,649
512,718
513,774
514,820
515,857
516,887
517,911
518,931
519,914
520,742
521,599
522,482
523,388
524,310
525,248
526,199
527,160
528,128
529,104
530,83
531,67
532,185
533,339
534,465
535,568
536,652
537,720
538,776
539,821
540,858
541,887
542,912
543,931
544,906
545,735
546,594
547,478
548,383
549,307
550,246
551,197
552,159
553,128
554,102
555,83
556,66
557,192
558,343
559,468
560,571
561,655
562,723
563,778
564,823
565,859
566,889
567,912
568,932
569,899
570,730
571,589
572,474
573,380
574,305
575,244
576,196
577,157
578,126
579,102
580,82
581,66
582,198
583,349
584,473
585,574
586,657
587,725
588,779
589,824
590,860
591,890
592,914
593,933
594,891
595,723
596,584
597,470
598,376
599,302
600,242
601,194
602,156
603,125
604,100
605,81
606,66
607,205
608,355
609,478
610,579
611,661
612,727
613,782
614,826
615,862
616,891
617,914
618,934
619,884
620,717
621,579
622,465
623,373
624,299
625,240
626,192
627,155
628,124
629,100
630,81
631,65
632,212
633,361
634,483
635,582
636,664
637,730
638,784
639,828
640,863
641,892
642,915
643,934
644,876
645,711
646,574
647,461
648,370
649,297
650,238
651,191
652,153
653,123
654,99
655,80
656,64
657,220
658,365
659,487
660,586
661,667
662,732
663,786
664,829
665,864
666,893
667,916
668,935
669,871
670,706
671,570
672,458
673,367
674,294
675,236
676,189
677,152
678,122
679,98
680,79
681,64
682,226
683,372
684,491
685,589
686,670
687,735
688,788
689,831
690,866
691,894
692,917
693,935
694,863
695,699
696,564
697,453
698,363
699,291
700,234
701,187
702,150
703,121
704,97
705,78
706,63
707,231
708,377
709,496
710,593
711,672
712,737
713,789
714,832
715,867
716,895
717,918
718,937
719,856
720,693
721,559
722,449
723,360
724,289
725,232
726,185
727,149
728,120
729,96
730,78
731,58
732,238
733,382
734,500
735,596
736,675
737,739
738,792
739,834
740,868
741,896
742,919
743,937
744,849
745,687
746,554
747,445
748,357
749,286
750,229
751,184
752,147
753,119
754,95
755,77
756,57
757,244
758,387
759,504
760,600
761,678
762,742
763,793
764,836
765,870
766,897
767,919
768,938
769,843
770,683
771,550
772,442
773,354
774,284
775,228
776,182
777,146
778,118
779,95
780,77
781,76
782,251
783,392
784,508
785,603
786,681
787,744
788,795
789,837
790,871
791,898
792,920
793,938
794,835
795,676
796,545
797,438
798,351
799,281
800,225
801,181
802,145
803,117
804,94
805,76
806,86
807,256
808,397
809,513
810,607
811,684
812,746
813,797
814,838
815,872
816,899
817,921
818,939
819,828
820,670
821,540
822,434
823,347
824,279
825,224
826,179
827,144
828,116
829,93
830,75
831,93
832,263
833,401
834,517
835,610
836,687
837,748
838,799
839,840
840,873
841,900
842,922
843,940
844,821
845,664
846,535
847,430
848,344
849,276
850,221
851,178
852,142
853,115
854,92
855,74
856,101
857,269
858,407
859,521
860,613
861,689
862,751
863,801
864,841
865,874
866,901
867,923
