Wavelength (micron),bin halfwidth (micron),Transit Depth ,Transit Depth lower error,Transit Depth upper error
2.4125,0.0075,0.020330801,0.000277087,0.000277684
2.4275,0.0075,0.021211803,0.000181731,0.000187285
2.4425,0.0075,0.020998024,0.000156602,0.000155488
2.4575,0.0075,0.021244754,0.000159209,0.000150269
2.4725,0.0075,0.021477117,0.000156537,0.000156602
2.4875,0.0075,0.021279181,0.000143004,0.000141185
2.5025,0.0075,0.021446909,0.000148159,0.000149809
2.5175,0.0075,0.021301024,0.000163093,0.000152595
2.5325,0.0075,0.021306083,0.000139918,0.000146983
2.5475,0.0075,0.02141968,0.000135708,0.000137305
2.5625,0.0075,0.021546611,0.000152263,0.000157982
2.5775,0.0075,0.021366317,0.000132862,0.000137357
2.5925,0.0075,0.021275446,0.000149514,0.000150237
2.6075,0.0075,0.021309838,0.000145963,0.000149375
2.6225,0.0075,0.021369013,0.000133465,0.000136087
2.6375,0.0075,0.02146348,0.000129069,0.000133091
2.6525,0.0075,0.021571769,0.000133445,0.000126044
2.6675,0.0075,0.021773625,0.000136933,0.000132451
2.6825,0.0075,0.021749404,0.000146054,0.000136125
2.6975,0.0075,0.021631449,0.000122857,0.000121256
2.7125,0.0075,0.021827734,0.000176755,0.000180375
2.7275,0.0075,0.02152494,0.000135034,0.000123524
2.7425,0.0075,0.021639582,0.000143373,0.000137532
2.7575,0.0075,0.021746458,0.000138094,0.000139927
2.7725,0.0075,0.02171841,0.00013152,0.000132781
2.7875,0.0075,0.021538419,0.000133614,0.000130362
2.8025,0.0075,0.021937417,0.000129921,0.000131198
2.8175,0.0075,0.021685598,0.000125966,0.000130362
2.8325,0.0075,0.021413118,0.000131948,0.000141946
2.8475,0.0075,0.021565549,0.000197995,0.000206516
2.8625,0.0075,0.021568813,0.000120383,0.000124434
2.8775,0.0075,0.021443327,0.000131731,0.000128297
2.8925,0.0075,0.021745172,0.000200234,0.00019057
2.9075,0.0075,0.021691626,0.000132629,0.000137799
2.9225,0.0075,0.021502457,0.000115311,0.000120613
2.9375,0.0075,0.021646936,0.00013248,0.000140825
2.9525,0.0075,0.021648318,0.00013673,0.000131666
2.9675,0.0075,0.02165029,0.000132819,0.000143933
2.9825,0.0075,0.021543086,0.000132026,0.000129472
2.9975,0.0075,0.021445528,0.000145047,0.000140539
3.0125,0.0075,0.021251491,0.000137465,0.000132783
3.0275,0.0075,0.021439357,0.000128883,0.000124405
3.0425,0.0075,0.021212404,0.000128558,0.000124614
3.0575,0.0075,0.021347966,0.000132809,0.000139645
3.0725,0.0075,0.02119988,0.000124854,0.000123021
3.0875,0.0075,0.021455996,0.000118137,0.000124711
3.1025,0.0075,0.021277867,0.00011623,0.000122198
3.1175,0.0075,0.021432169,0.000142783,0.000142134
3.1325,0.0075,0.021382303,0.000200105,0.000202563
3.1475,0.0075,0.021383227,0.000123786,0.000124087
3.1625,0.0075,0.02102601,0.000125091,0.000127744
3.1775,0.0075,0.021083477,0.000121503,0.000125771
3.1925,0.0075,0.021168692,0.000127171,0.00013157
3.2075,0.0075,0.021223314,0.000121581,0.000124022
3.2225,0.0075,0.021195113,0.000125804,0.000132302
3.2375,0.0075,0.021085415,0.000133259,0.000139471
3.2525,0.0075,0.021010425,0.000131032,0.000124489
3.2675,0.0075,0.020919445,0.000133914,0.000131361
3.2825,0.0075,0.02109329,0.000126298,0.00012818
3.2975,0.0075,0.020843472,0.000125123,0.00013008
3.3125,0.0075,0.020908972,0.000124949,0.000118665
3.3275,0.0075,0.02127357,0.000125561,0.000120888
3.3425,0.0075,0.021050574,0.000131389,0.000127209
3.3575,0.0075,0.021149438,0.000114357,0.0001131
3.3725,0.0075,0.021243597,0.00016838,0.000158049
3.3875,0.0075,0.020926216,0.000152002,0.000150815
3.4025,0.0075,0.021156853,0.000130782,0.000126254
3.4175,0.0075,0.020906101,0.000134601,0.000135828
3.4325,0.0075,0.021167993,0.000129011,0.000123234
3.4475,0.0075,0.021231928,0.000124622,0.000127416
3.4625,0.0075,0.021090316,0.000141234,0.000138642
3.4775,0.0075,0.020869718,0.000126708,0.00013369
3.4925,0.0075,0.020768334,0.000114558,0.000121709
3.5075,0.0075,0.020881113,0.000125944,0.000127781
3.5225,0.0075,0.021019246,0.00011853,0.000120662
3.5375,0.0075,0.020985615,0.000133443,0.000137611
3.5525,0.0075,0.021118571,0.000132906,0.000140018
3.5675,0.0075,0.02094585,0.000131705,0.000131001
3.5825,0.0075,0.021050656,0.000123462,0.000125472
3.5975,0.0075,0.020841036,0.000129036,0.000127485
3.6125,0.0075,0.021021795,0.000137673,0.000136627
3.6275,0.0075,0.020868211,0.000131785,0.000130139
3.6425,0.0075,0.020652715,0.000135632,0.000131464
3.6575,0.0075,0.020842679,0.000134162,0.000130087
3.6725,0.0075,0.021078151,0.000125161,0.000122726
3.6875,0.0075,0.02147018,0.000173715,0.000180172
3.7025,0.0075,0.020857078,0.000142376,0.000133853
3.7175,0.0075,0.020627719,0.000128224,0.000132491
3.7325,0.0075,0.020903266,0.000141212,0.000145164
3.7475,0.0075,0.02084761,0.000133197,0.000126504
3.7625,0.0075,0.021032339,0.000137505,0.0001306
3.7775,0.0075,0.020925755,0.000135343,0.000133291
3.7925,0.0075,0.020901301,0.000141249,0.000140224
3.8075,0.0075,0.020454154,0.000135656,0.000145915
3.8225,0.0075,0.020816859,0.000149889,0.000146951
3.8375,0.0075,0.020985868,0.000151136,0.000145292
3.8525,0.0075,0.021182296,0.000214939,0.000208431
3.8675,0.0075,0.020822327,0.000180737,0.000183819
3.8825,0.0075,0.020772555,0.000202001,0.000199731
3.8975,0.0075,0.020648489,0.000148944,0.000158022
3.9125,0.0075,0.020745893,0.000140406,0.000142003
3.9275,0.0075,0.020890133,0.000134844,0.000129121
3.9425,0.0075,0.021001833,0.000165961,0.000160913
3.9575,0.0075,0.020851383,0.000148741,0.000145732
3.9725,0.0075,0.020907935,0.000162887,0.000164226
3.9875,0.0075,0.020969247,0.000190813,0.000200867
4.0025,0.0075,0.020835107,0.000252058,0.000240492
4.0175,0.0075,0.020892213,0.000326744,0.000315014
4.0325,0.0075,0.021417056,0.000427042,0.000419884
4.0475,0.0075,0.021548884,0.000598571,0.000566013
