Wavelength (micron),Transit Depth (%): best fit equilibrium,Transit Depth (%): CH4 upper limit,Transit Depth (%): no clouds,Transit Depth (%): no CO2,Transit Depth (%): no H2O,Transit Depth (%): no H2S,Transit Depth (%): cloudy solar
2.000526871,2.116784564,2.112301395,2.065042906,2.114945964,2.100358858,2.115127366,2.109314317
2.007206426,2.115873652,2.111383458,2.063842307,2.113426984,2.102843361,2.11412959,2.109171109
2.013908284,2.11406767,2.10957751,2.061177586,2.111309229,2.104068586,2.111639119,2.107214485
2.020632519,2.115547442,2.111079827,2.063683304,2.111171999,2.104466273,2.114581402,2.104322594
2.027379205,2.111223755,2.106793623,2.054763461,2.10752369,2.102948139,2.110167415,2.099378354
2.034148418,2.106306191,2.101922704,2.044130716,2.102980647,2.100093778,2.105881928,2.093347585
2.040940232,2.105515189,2.101177575,2.042323452,2.102556826,2.099456507,2.104589552,2.095124092
2.047754724,2.098818612,2.094577995,2.027965874,2.096070419,2.09726736,2.097440976,2.087063901
2.054591968,2.100421982,2.096211197,2.031288652,2.0981249,2.093886109,2.099124399,2.08899077
2.061452042,2.096259184,2.092200583,2.022374817,2.094902936,2.090073893,2.095607589,2.082247001
2.06833502,2.091775257,2.087892205,2.012221317,2.089823472,2.089297542,2.090177127,2.080632613
2.07524098,2.090805383,2.087029332,2.010003262,2.088826594,2.087110706,2.089621386,2.079964813
2.082169998,2.089006648,2.085607945,2.00569039,2.087592432,2.086127901,2.086978762,2.079529239
2.089122152,2.08771374,2.08455094,2.002999242,2.086257664,2.083641133,2.086494382,2.076870046
2.096097518,2.0829268,2.08032007,1.991861391,2.081286163,2.082443419,2.08132436,2.073997682
2.103096174,2.08162628,2.079817913,1.988032559,2.080113602,2.080289756,2.07974266,2.073244795
2.110118198,2.079585241,2.078068961,1.983814032,2.077923247,2.080486618,2.077984526,2.070399571
2.117163668,2.078037372,2.077526951,1.980088047,2.076814345,2.076587191,2.077167816,2.072848715
2.124232662,2.074360962,2.075155909,1.971226977,2.073143041,2.074695221,2.073766431,2.067752097
2.131325258,2.073002273,2.0754618,1.967761033,2.07204193,2.072780224,2.072094217,2.069698174
2.138441536,2.073012339,2.076187652,1.967326456,2.072177076,2.071244045,2.071935815,2.068592894
2.145581575,2.067350351,2.073494381,1.954010633,2.066588772,2.068618511,2.066764179,2.069418667
2.152745453,2.071749374,2.077403278,1.964232415,2.071294987,2.067328121,2.071511049,2.069590363
2.159933251,2.06756818,2.076511935,1.954379556,2.067184114,2.065306905,2.067544829,2.070110431
2.167145048,2.067094214,2.077124527,1.952824214,2.066791818,2.063173113,2.067212172,2.070969194
2.174380925,2.066406142,2.078610392,1.950958537,2.066223488,2.061753718,2.066748814,2.071800515
2.181640961,2.06405092,2.078426805,1.945633439,2.063935091,2.060334158,2.064648891,2.074756868
2.188925238,2.066329537,2.083143016,1.950847119,2.066306061,2.059681627,2.066946785,2.078706047
2.196233837,2.064663457,2.086505555,1.946709059,2.064684646,2.057445908,2.065833643,2.084411648
2.203566838,2.06733597,2.094280346,1.953021392,2.0674092,2.057770803,2.068530748,2.094759459
2.210924323,2.064124566,2.091018226,1.945295013,2.064212586,2.056068411,2.065473685,2.091726527
2.218306374,2.068888438,2.090697851,1.956373941,2.06900996,2.055619767,2.070515836,2.088715577
2.225713074,2.066876982,2.090762977,1.95153658,2.067007042,2.05454406,2.068505606,2.090714113
2.233144503,2.067516853,2.092015146,1.953109863,2.067659848,2.054593819,2.069042131,2.092292684
2.240600745,2.06541548,2.092819921,1.947885873,2.065562061,2.053871655,2.067155981,2.092851634
2.248081883,2.065497174,2.094258224,1.947965513,2.065650471,2.05422857,2.067209639,2.095964748
2.255587999,2.066099632,2.095199288,1.949585076,2.066256707,2.054129149,2.067958506,2.097669511
2.263119178,2.066745463,2.095839363,1.951065456,2.066906981,2.054379792,2.068606257,2.096670717
2.270675502,2.065959059,2.096657088,1.948499904,2.066121208,2.054772814,2.067768936,2.100655479
2.278257056,2.068166044,2.098149863,1.953935897,2.068332376,2.055180384,2.06994881,2.100030081
2.285863925,2.068021396,2.098947855,1.953525861,2.068188631,2.056059871,2.06961301,2.101109463
2.293496192,2.075848075,2.103987308,1.971500432,2.076023593,2.071395736,2.077732885,2.108906815
2.301153942,2.075029727,2.102480644,1.968331291,2.075205675,2.078344791,2.07675524,2.106541217
2.308837261,2.076790149,2.099515344,1.972281234,2.076967749,2.076300746,2.078542579,2.101310325
2.316546233,2.073294444,2.098033839,1.965978498,2.07346593,2.074445283,2.074927924,2.101485848
2.324280945,2.08113132,2.105812806,1.983175887,2.081312382,2.081363103,2.082763083,2.111515536
2.332041482,2.082197404,2.107728735,1.985721424,2.082379011,2.082997488,2.083390831,2.114009308
2.339827931,2.083669259,2.108584329,1.989094354,2.083848219,2.079870898,2.084397695,2.112327274
2.347640379,2.081421621,2.10526002,1.985271375,2.08160225,2.076798892,2.082281076,2.114553985
2.355478911,2.087473161,2.10712924,1.998104329,2.087658815,2.085890722,2.088297586,2.114365128
2.363343615,2.087658334,2.105538579,1.998748452,2.087843874,2.087425645,2.08819013,2.110078802
2.371234579,2.087320602,2.107284952,1.998578924,2.087506779,2.083930712,2.087558311,2.114154759
2.379151889,2.091758374,2.110413141,2.009199806,2.091947799,2.085777064,2.092038662,2.117347819
2.387095635,2.091529097,2.10941003,2.007161449,2.09171935,2.089877644,2.091227446,2.116194853
2.395065904,2.09217259,2.106796189,2.009714648,2.09236402,2.087112794,2.091439376,2.1114999
2.403062786,2.092873074,2.106534915,2.011057476,2.093064862,2.086626847,2.092072322,2.108555321
2.411086368,2.102358523,2.111284905,2.032171287,2.102560742,2.089121229,2.101888899,2.114790621
2.419136739,2.098222662,2.10795464,2.023051123,2.098420136,2.087805767,2.097196312,2.112116804
2.427213991,2.102341463,2.110577094,2.032482037,2.102542905,2.088748505,2.102139154,2.113897268
2.435318211,2.105348179,2.112733119,2.039302159,2.105553222,2.091360213,2.104498533,2.118151424
2.44344949,2.108576901,2.114442864,2.045502485,2.108785614,2.092470397,2.105634204,2.118242537
2.451607919,2.113909346,2.117583399,2.056969145,2.114123575,2.094612001,2.112130601,2.120968874
2.459793589,2.114883689,2.118513057,2.058430779,2.11509956,2.094303875,2.113631664,2.121375455
2.468006589,2.112680285,2.1161184,2.053870754,2.112890498,2.093058344,2.111036233,2.118194414
2.476247012,2.124052396,2.124834013,2.076403894,2.124277733,2.099072576,2.121466995,2.125437289
2.484514948,2.121667661,2.122538882,2.072276789,2.121856049,2.097052735,2.117560258,2.126467951
2.492810491,2.123613346,2.123255008,2.07670898,2.123831495,2.099442198,2.120476625,2.128980797
2.501133731,2.129718657,2.128066771,2.089555253,2.129931923,2.102126038,2.126532898,2.133993726
2.509484762,2.137215817,2.13456008,2.104288024,2.137454195,2.102732405,2.134256528,2.139606773
2.517863676,2.129902625,2.127212972,2.091122733,2.130119799,2.103929978,2.126894954,2.140363098
2.526270566,2.14209971,2.138662971,2.113571907,2.142334175,2.108302466,2.139428956,2.14352956
2.534705526,2.137999469,2.134986738,2.105578874,2.138222014,2.112253894,2.132404163,2.145548758
2.54316865,2.144699089,2.140865543,2.11961866,2.144938289,2.109346136,2.140621641,2.14738659
2.551660031,2.141355048,2.137826499,2.112693548,2.141576053,2.112687926,2.137238599,2.148537301
2.560179764,2.142748019,2.139188532,2.116344719,2.142970199,2.117316495,2.137640812,2.14917857
2.568727944,2.144532401,2.141045863,2.118403721,2.144746607,2.116134579,2.139156439,2.148235939
2.577304665,2.14875983,2.145040373,2.12719923,2.148972573,2.120316336,2.142977263,2.153626409
2.585910023,2.141828293,2.138218483,2.114322615,2.142017086,2.1186469,2.135473651,2.14853997
2.594544113,2.145865059,2.141990497,2.122776913,2.146051477,2.121402451,2.13952383,2.154985098
2.603207031,2.140032073,2.136025208,2.112713261,2.140176098,2.122340692,2.132037689,2.143563172
2.611898874,2.144019815,2.140343121,2.118010814,2.144102344,2.121566277,2.136446838,2.146234305
2.620619739,2.146923441,2.143116553,2.12411791,2.14711369,2.119763135,2.140572209,2.146861582
2.629369721,2.14655675,2.142366848,2.124356943,2.146768991,2.123349636,2.139305157,2.151536793
2.638148919,2.14426972,2.140414356,2.11902005,2.144386763,2.119024071,2.138174435,2.144540752
2.64695743,2.138750738,2.134560156,2.109544438,2.138687768,2.113648878,2.135130993,2.138848972
2.655795351,2.146174235,2.141961402,2.123410751,2.13936012,2.139012151,2.141717724,2.145107369
2.664662781,2.159152981,2.154710914,2.147724315,2.144286075,2.154832972,2.156900673,2.153433194
2.673559819,2.167999998,2.163324502,2.164386775,2.153941773,2.161385232,2.166194734,2.169361631
2.682486563,2.161952268,2.157293834,2.153711937,2.147917585,2.160209615,2.161209883,2.159254765
2.691443112,2.165274469,2.160590041,2.159555497,2.152465649,2.160821488,2.164616597,2.161175176
2.700429567,2.163346176,2.15866489,2.156143327,2.149413844,2.159292375,2.162008109,2.160018387
2.709446026,2.167802141,2.163106438,2.163333773,2.153748609,2.160678787,2.167450373,2.165700775
2.71849259,2.165129827,2.160422157,2.159881306,2.152169223,2.160781769,2.163441418,2.159423475
2.72756936,2.16239013,2.157686712,2.155037268,2.149853057,2.1569756,2.162343253,2.154521386
